customer_id,contract,internet_service,tech_support,payment_method,paperless_billing,churn
2361-FJWNO,One year,DSL,Yes,Credit card (automatic),No,No
2272-UOINI,Month-to-month,DSL,Yes,Electronic check,Yes,No
8232-UTFOZ,Two year,No,No internet service,Credit card (automatic),No,No
3750-YHRYO,One year,No,No internet service,Mailed check,No,No
6637-KYRCV,Month-to-month,DSL,No,Electronic check,Yes,No
5668-MEISB,Two year,Fiber optic,Yes,Credit card (automatic),No,No
0129-QMPDR,One year,No,No internet service,Bank transfer (automatic),Yes,No
7188-CBBBA,One year,Fiber optic,No,Electronic check,Yes,No
5356-CSVSQ,Month-to-month,DSL,Yes,Electronic check,No,No
3221-CJMSG,Month-to-month,DSL,Yes,Credit card (automatic),Yes,No
4720-VSTSI,Month-to-month,Fiber optic,No,Bank transfer (automatic),Yes,Yes
3219-JQRSL,Two year,DSL,Yes,Credit card (automatic),No,No
2801-NISEI,Month-to-month,DSL,Yes,Electronic check,No,No
3946-MHCZW,Month-to-month,DSL,No,Mailed check,No,Yes
4623-ZKHLY,Month-to-month,No,No internet service,Bank transfer (automatic),Yes,No
6732-VAILE,Two year,DSL,Yes,Credit card (automatic),Yes,No
8201-AAXCB,Month-to-month,DSL,No,Electronic check,No,No
7696-CFTAT,Two year,No,No internet service,Bank transfer (automatic),No,No
1845-CSBRZ,Month-to-month,Fiber optic,No,Bank transfer (automatic),No,No
2123-VSCOT,Two year,DSL,Yes,Bank transfer (automatic),Yes,No
6651-AZVTJ,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
4566-GOLUK,Month-to-month,Fiber optic,Yes,Bank transfer (automatic),Yes,Yes
2484-DGXPZ,Month-to-month,No,No internet service,Mailed check,Yes,Yes
2018-QKYGT,Month-to-month,Fiber optic,No,Electronic check,Yes,No
2792-VPPET,Month-to-month,No,No internet service,Electronic check,Yes,No
7409-JURKQ,One year,Fiber optic,Yes,Bank transfer (automatic),Yes,No
3247-MHJKM,Month-to-month,No,No internet service,Mailed check,No,No
1964-SVLEA,One year,No,No internet service,Mailed check,Yes,No
4587-NUKOX,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
7297-DVYGA,One year,No,No internet service,Bank transfer (automatic),Yes,No
2239-CGBUZ,One year,DSL,Yes,Bank transfer (automatic),Yes,No
0854-UYHZD,Two year,No,No internet service,Mailed check,No,No
7243-LCGGZ,Month-to-month,No,No internet service,Mailed check,No,No
8267-KFGYD,Month-to-month,No,No internet service,Mailed check,Yes,No
4890-VMUAV,One year,DSL,Yes,Electronic check,No,No
9261-WDCAF,Month-to-month,DSL,No,Mailed check,No,No
3764-MNMOI,Two year,No,No internet service,Credit card (automatic),No,No
7442-YGZFK,Month-to-month,DSL,No,Credit card (automatic),Yes,No
0420-BWTPW,Month-to-month,DSL,No,Mailed check,No,Yes
8229-BUJHX,Two year,No,No internet service,Bank transfer (automatic),No,No
7449-HVPIV,Month-to-month,Fiber optic,No,Credit card (automatic),Yes,No
5504-WSIUR,One year,Fiber optic,Yes,Bank transfer (automatic),Yes,No
8183-ONMXC,Month-to-month,Fiber optic,No,Electronic check,No,Yes
8466-PZBLH,Two year,Fiber optic,Yes,Bank transfer (automatic),No,No
9614-RMGHA,Month-to-month,Fiber optic,No,Bank transfer (automatic),Yes,Yes
8735-IJJEG,Month-to-month,DSL,No,Credit card (automatic),No,No
0564-MUUQK,Month-to-month,Fiber optic,Yes,Bank transfer (automatic),Yes,No
5054-IEXZT,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
5834-ASPWA,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
0701-RFGFI,Month-to-month,Fiber optic,No,Bank transfer (automatic),Yes,No
0019-EFAEP,Two year,Fiber optic,No,Bank transfer (automatic),Yes,No
5619-PTMIK,Month-to-month,DSL,No,Electronic check,No,No
3737-XBQDD,Month-to-month,Fiber optic,No,Bank transfer (automatic),Yes,No
5882-CMAZQ,Month-to-month,DSL,Yes,Electronic check,No,No
5846-QFDFI,Month-to-month,Fiber optic,Yes,Credit card (automatic),No,No
4445-KWOKW,One year,DSL,No,Bank transfer (automatic),Yes,No
3511-APPBJ,One year,Fiber optic,No,Credit card (automatic),Yes,No
7967-HYCDE,Month-to-month,Fiber optic,No,Bank transfer (automatic),No,No
2430-RRYUW,One year,DSL,No,Mailed check,Yes,No
3948-XHGNA,Month-to-month,DSL,No,Bank transfer (automatic),Yes,Yes
3723-BFBGR,Month-to-month,DSL,No,Credit card (automatic),No,No
0565-IYCGT,One year,DSL,Yes,Credit card (automatic),Yes,Yes
5447-WZAFP,One year,Fiber optic,No,Mailed check,Yes,No
5110-CHOPY,Two year,DSL,No,Electronic check,No,No
5445-UTODQ,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
4425-OWHWB,One year,No,No internet service,Credit card (automatic),Yes,No
7892-QVYKW,Month-to-month,Fiber optic,No,Electronic check,No,No
9675-ICXCT,Two year,DSL,Yes,Electronic check,Yes,No
1024-VRZHF,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
4703-MQYKT,Two year,No,No internet service,Mailed check,No,No
9497-QCMMS,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
5692-ICXLW,Month-to-month,Fiber optic,No,Electronic check,Yes,No
0602-DDUML,Two year,DSL,Yes,Mailed check,No,No
2208-MPXIO,Two year,No,No internet service,Bank transfer (automatic),Yes,No
1960-UYCNN,Month-to-month,Fiber optic,No,Electronic check,Yes,No
0348-SDKOL,Month-to-month,Fiber optic,Yes,Credit card (automatic),Yes,Yes
3190-FZATL,Month-to-month,No,No internet service,Mailed check,No,No
7336-RLLRH,One year,DSL,Yes,Mailed check,No,No
4373-MAVJG,Month-to-month,Fiber optic,No,Bank transfer (automatic),Yes,Yes
8901-HJXTF,Month-to-month,DSL,No,Mailed check,No,Yes
7710-JSYOA,Two year,Fiber optic,Yes,Bank transfer (automatic),Yes,No
5419-KLXBN,Month-to-month,Fiber optic,No,Bank transfer (automatic),Yes,Yes
3424-NMNBO,One year,Fiber optic,No,Electronic check,Yes,Yes
9885-MFVSU,Two year,DSL,Yes,Credit card (automatic),Yes,No
4514-GFCFI,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
0607-MVMGC,One year,DSL,No,Credit card (automatic),No,No
3365-SAIGS,Month-to-month,Fiber optic,No,Electronic check,Yes,No
9828-AOQLM,Month-to-month,DSL,No,Electronic check,Yes,Yes
8022-BECSI,One year,No,No internet service,Mailed check,No,No
8000-REIQB,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
9993-LHIEB,Two year,DSL,Yes,Mailed check,No,No
0266-CLZKZ,Two year,Fiber optic,Yes,Bank transfer (automatic),Yes,No
7615-ESMYF,Month-to-month,DSL,No,Electronic check,No,Yes
3858-VOBET,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
7020-OZKXZ,Month-to-month,Fiber optic,No,Credit card (automatic),No,No
3977-QCRSL,Month-to-month,No,No internet service,Mailed check,No,No
0017-DINOC,Two year,DSL,Yes,Credit card (automatic),No,No
1447-PJGGA,Two year,Fiber optic,No,Electronic check,Yes,Yes
8565-CLBZW,Month-to-month,Fiber optic,No,Mailed check,Yes,Yes
9139-WQQDY,One year,Fiber optic,No,Mailed check,No,Yes
0224-HJAPT,Month-to-month,DSL,No,Electronic check,No,Yes
8086-OVPWV,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
9430-FRQOC,Month-to-month,Fiber optic,Yes,Mailed check,Yes,Yes
7639-OPLNG,Two year,DSL,Yes,Bank transfer (automatic),Yes,No
3074-GQWYX,Month-to-month,Fiber optic,No,Bank transfer (automatic),Yes,Yes
1492-QGCLU,Month-to-month,DSL,Yes,Electronic check,No,No
6845-RGTYS,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
7328-OWMOM,One year,No,No internet service,Credit card (automatic),No,No
4418-LZMSV,Month-to-month,DSL,Yes,Bank transfer (automatic),No,No
5155-AZQPB,Month-to-month,DSL,No,Mailed check,No,No
8861-HGGKB,Month-to-month,Fiber optic,No,Electronic check,No,Yes
1087-GRUYI,Two year,No,No internet service,Bank transfer (automatic),No,No
7065-YUNRY,Month-to-month,DSL,No,Mailed check,Yes,Yes
7694-VLBWQ,One year,Fiber optic,No,Electronic check,No,Yes
2546-KZAAT,One year,DSL,No,Mailed check,Yes,No
0181-RITDD,Two year,Fiber optic,Yes,Mailed check,No,No
5989-PGKJB,Month-to-month,Fiber optic,No,Electronic check,Yes,No
4795-KTRTH,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
8272-ONJLV,One year,Fiber optic,No,Electronic check,No,No
1488-PBLJN,Two year,Fiber optic,Yes,Bank transfer (automatic),Yes,No
0308-GIQJT,One year,Fiber optic,Yes,Bank transfer (automatic),No,No
3778-FOAQW,One year,No,No internet service,Mailed check,No,No
4452-ROHMO,Two year,No,No internet service,Mailed check,No,No
6481-OGDOO,One year,Fiber optic,No,Credit card (automatic),Yes,Yes
3090-LETTY,Month-to-month,DSL,No,Bank transfer (automatic),No,No
5349-AZPEW,Month-to-month,DSL,No,Mailed check,No,No
3753-TSEMP,Month-to-month,Fiber optic,No,Electronic check,No,Yes
8305-VHZBZ,Month-to-month,No,No internet service,Mailed check,Yes,Yes
9720-JJJOR,One year,DSL,No,Bank transfer (automatic),Yes,No
8100-HZZLJ,Month-to-month,DSL,No,Electronic check,Yes,No
8775-ERLNB,Month-to-month,Fiber optic,No,Electronic check,No,No
8309-IEYJD,Month-to-month,Fiber optic,No,Mailed check,Yes,No
9172-JITSM,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
6298-QDFNH,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
7398-HPYZQ,Two year,DSL,Yes,Bank transfer (automatic),No,No
3546-GHEAE,Two year,No,No internet service,Mailed check,No,No
7361-YPXFS,Month-to-month,DSL,Yes,Bank transfer (automatic),No,No
6557-BZXLQ,Month-to-month,Fiber optic,No,Electronic check,No,No
2550-QHZGP,One year,No,No internet service,Mailed check,No,No
7519-JTWQH,Two year,Fiber optic,Yes,Bank transfer (automatic),Yes,No
2538-OIMXF,Month-to-month,DSL,No,Mailed check,No,No
8543-MSDMF,Month-to-month,DSL,No,Electronic check,Yes,No
9961-JBNMK,Month-to-month,Fiber optic,No,Bank transfer (automatic),Yes,Yes
1170-SASML,Month-to-month,Fiber optic,No,Bank transfer (automatic),Yes,No
4872-JCVCA,Two year,DSL,Yes,Bank transfer (automatic),Yes,No
5346-BZCHP,Two year,No,No internet service,Mailed check,No,No
2038-LLMLM,Month-to-month,Fiber optic,Yes,Electronic check,Yes,No
6173-ITPWD,Month-to-month,Fiber optic,No,Bank transfer (automatic),Yes,Yes
9734-UYXQI,Month-to-month,DSL,No,Electronic check,Yes,Yes
1216-BGTSP,Month-to-month,Fiber optic,Yes,Credit card (automatic),Yes,No
4138-NAXED,Month-to-month,Fiber optic,No,Bank transfer (automatic),No,No
2189-UXTKY,Month-to-month,DSL,Yes,Electronic check,Yes,Yes
0744-BIKKF,Two year,DSL,Yes,Bank transfer (automatic),No,No
7483-IQWIB,Month-to-month,Fiber optic,No,Electronic check,Yes,No
5248-KWLAR,Two year,DSL,Yes,Electronic check,No,No
4958-GZWIY,Month-to-month,DSL,No,Electronic check,No,Yes
7996-MHXLW,Two year,No,No internet service,Credit card (automatic),Yes,No
7833-PKIHD,One year,DSL,Yes,Bank transfer (automatic),Yes,No
7061-OVMIM,One year,No,No internet service,Bank transfer (automatic),No,No
5153-RTHKF,Month-to-month,Fiber optic,No,Electronic check,No,No
1852-QSWCD,Two year,No,No internet service,Mailed check,Yes,No
4832-VRBMR,One year,Fiber optic,No,Bank transfer (automatic),Yes,No
9079-LWTFD,Month-to-month,Fiber optic,Yes,Mailed check,No,No
6356-ELRKD,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
8624-GIOUT,Month-to-month,DSL,No,Credit card (automatic),Yes,Yes
3392-EHMNK,Two year,Fiber optic,Yes,Credit card (automatic),No,No
5986-WWXDV,One year,No,No internet service,Bank transfer (automatic),No,No
3061-BCKYI,Month-to-month,No,No internet service,Mailed check,No,No
6179-GJPSO,Month-to-month,Fiber optic,Yes,Credit card (automatic),Yes,Yes
7901-TBKJX,Month-to-month,Fiber optic,No,Electronic check,Yes,No
7228-PAQPD,One year,DSL,Yes,Credit card (automatic),No,No
3177-LASXD,Month-to-month,Fiber optic,No,Electronic check,No,Yes
7746-QYVCO,One year,DSL,No,Mailed check,Yes,No
5804-HYIEZ,Month-to-month,Fiber optic,No,Electronic check,Yes,No
9919-FZDED,Two year,DSL,No,Credit card (automatic),Yes,No
5934-TSSAU,Month-to-month,Fiber optic,No,Credit card (automatic),Yes,No
3486-KHMLI,Month-to-month,No,No internet service,Mailed check,No,No
4897-QSUYC,Month-to-month,No,No internet service,Mailed check,Yes,Yes
1084-UQCHV,Month-to-month,Fiber optic,No,Bank transfer (automatic),No,Yes
8290-YWKHZ,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
2955-BJZHG,Month-to-month,Fiber optic,No,Electronic check,No,Yes
3806-DXQOM,Month-to-month,DSL,No,Electronic check,Yes,Yes
6784-XYJAE,One year,DSL,No,Electronic check,No,No
3933-DQPWX,Two year,DSL,Yes,Credit card (automatic),No,No
6661-EIPZC,Month-to-month,DSL,Yes,Credit card (automatic),Yes,No
8957-THMOA,Two year,No,No internet service,Credit card (automatic),No,No
2251-PYLPB,Two year,DSL,Yes,Credit card (automatic),No,No
5555-RNPGT,Month-to-month,No,No internet service,Credit card (automatic),No,No
1057-FOGLZ,Month-to-month,No,No internet service,Mailed check,No,No
9300-RENDD,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
0761-AETCS,Month-to-month,No,No internet service,Electronic check,No,Yes
8087-LGYHQ,Month-to-month,Fiber optic,No,Electronic check,Yes,No
4137-BTIKL,Month-to-month,Fiber optic,No,Mailed check,No,No
2190-BCXEC,Month-to-month,Fiber optic,Yes,Credit card (automatic),Yes,No
6227-FBDXH,One year,Fiber optic,No,Bank transfer (automatic),No,No
2153-MREFK,One year,Fiber optic,Yes,Electronic check,Yes,Yes
2911-WDXMV,Month-to-month,Fiber optic,No,Credit card (automatic),Yes,No
7206-PQBBZ,Month-to-month,Fiber optic,No,Electronic check,Yes,No
3106-ULWFW,Month-to-month,Fiber optic,No,Credit card (automatic),Yes,Yes
0925-VYDLG,Month-to-month,Fiber optic,No,Electronic check,No,Yes
4547-FZJWE,One year,DSL,No,Credit card (automatic),No,No
7422-WNBTY,Month-to-month,Fiber optic,No,Electronic check,Yes,No
0842-IWYCP,Month-to-month,DSL,No,Bank transfer (automatic),No,No
3521-HTQTV,Two year,No,No internet service,Bank transfer (automatic),No,No
3744-ZBHON,Month-to-month,No,No internet service,Electronic check,No,No
3373-DIUUN,Two year,No,No internet service,Mailed check,No,No
8383-SGHJU,One year,DSL,Yes,Electronic check,No,No
7607-QKKTJ,One year,Fiber optic,No,Credit card (automatic),Yes,No
7707-PYBBH,Month-to-month,DSL,Yes,Mailed check,Yes,No
8984-HPEMB,Two year,Fiber optic,Yes,Electronic check,Yes,No
4349-GFQHK,Month-to-month,DSL,No,Electronic check,No,Yes
4139-DETXS,Two year,DSL,Yes,Bank transfer (automatic),No,No
9779-DPNEJ,Month-to-month,Fiber optic,No,Electronic check,Yes,No
9805-FILKB,One year,No,No internet service,Bank transfer (automatic),Yes,No
5793-YOLJN,Two year,No,No internet service,Mailed check,No,No
0673-IGUQO,Month-to-month,No,No internet service,Mailed check,No,No
4123-FCVCB,One year,DSL,Yes,Mailed check,Yes,No
8819-IMISP,Month-to-month,Fiber optic,No,Electronic check,Yes,No
7802-EFKNY,Month-to-month,DSL,No,Electronic check,Yes,Yes
8311-UEUAB,Two year,DSL,No,Electronic check,Yes,No
5858-EAFCZ,Month-to-month,DSL,No,Mailed check,No,No
8035-BUYVG,One year,DSL,No,Electronic check,Yes,Yes
1163-ONYEY,Month-to-month,DSL,No,Credit card (automatic),Yes,No
9787-XVQIU,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
8945-MUQUF,One year,Fiber optic,No,Electronic check,Yes,Yes
5656-MJEFC,Two year,DSL,Yes,Credit card (automatic),No,No
6082-OQFBA,One year,No,No internet service,Mailed check,No,No
8051-HJRLT,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
8974-OVACP,Month-to-month,No,No internet service,Mailed check,No,No
4010-YLMVT,Month-to-month,Fiber optic,No,Credit card (automatic),Yes,No
1379-FRVEB,Month-to-month,Fiber optic,No,Electronic check,Yes,No
8612-GXIDD,Two year,No,No internet service,Bank transfer (automatic),Yes,No
6288-CHQJB,Two year,DSL,Yes,Bank transfer (automatic),No,No
8160-HOWOX,Month-to-month,DSL,No,Electronic check,Yes,No
3023-GFLBR,Month-to-month,Fiber optic,No,Credit card (automatic),No,Yes
6648-INWPS,Month-to-month,No,No internet service,Electronic check,No,No
4223-BKEOR,One year,DSL,No,Mailed check,No,No
4079-VTGLK,Two year,DSL,No,Electronic check,No,No
1763-WQFUK,Month-to-month,DSL,Yes,Mailed check,Yes,No
1391-UBDAR,Month-to-month,Fiber optic,No,Electronic check,No,No
8894-JVDCV,One year,Fiber optic,Yes,Credit card (automatic),Yes,No
2023-VQFDL,Month-to-month,No,No internet service,Electronic check,No,No
1345-GKDZZ,Month-to-month,No,No internet service,Mailed check,No,No
2014-MKGMH,One year,Fiber optic,No,Electronic check,Yes,No
5628-FCGYG,Month-to-month,Fiber optic,No,Electronic check,Yes,No
2560-WBWXF,Two year,No,No internet service,Bank transfer (automatic),Yes,No
0248-IPDFW,Month-to-month,DSL,No,Electronic check,Yes,No
7978-DKUQH,Month-to-month,Fiber optic,No,Electronic check,Yes,No
4335-UPJSI,Two year,No,No internet service,Mailed check,No,No
0524-IAVZO,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
2737-YNGYW,Month-to-month,Fiber optic,No,Electronic check,No,Yes
1784-EZDKJ,One year,Fiber optic,No,Bank transfer (automatic),Yes,No
9297-FVVDH,Two year,DSL,Yes,Electronic check,Yes,No
8007-YYPWD,Two year,No,No internet service,Bank transfer (automatic),No,No
7101-HRBLJ,Two year,DSL,Yes,Bank transfer (automatic),Yes,No
5159-YFPKQ,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
6635-CPNUN,Month-to-month,Fiber optic,No,Credit card (automatic),No,No
4021-RQSNY,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
5453-YBTWV,Two year,Fiber optic,Yes,Credit card (automatic),Yes,No
5039-LZRQT,One year,No,No internet service,Mailed check,No,No
2931-VUVJN,One year,Fiber optic,Yes,Electronic check,Yes,No
9061-TIHDA,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
8699-ASUFO,Month-to-month,Fiber optic,No,Mailed check,Yes,Yes
6418-PIQSP,Two year,DSL,Yes,Mailed check,No,No
8220-OCUFY,One year,DSL,Yes,Electronic check,Yes,No
3995-WFCSM,Month-to-month,DSL,No,Electronic check,No,No
1895-QTKDO,Month-to-month,DSL,No,Credit card (automatic),No,No
2038-OEQZH,Month-to-month,Fiber optic,No,Electronic check,No,No
1178-PZGAB,One year,No,No internet service,Credit card (automatic),No,No
7927-AUXBZ,Month-to-month,Fiber optic,Yes,Electronic check,No,Yes
2626-VEEWG,Two year,No,No internet service,Credit card (automatic),Yes,No
2878-RMWXY,Two year,Fiber optic,No,Credit card (automatic),Yes,No
1657-DYMBM,Two year,No,No internet service,Credit card (automatic),No,No
7311-MQJCH,One year,No,No internet service,Electronic check,No,No
7375-WMVMT,Two year,Fiber optic,Yes,Credit card (automatic),Yes,No
1136-XGEQU,One year,DSL,Yes,Credit card (automatic),Yes,No
2530-FMFXO,Two year,Fiber optic,Yes,Electronic check,Yes,No
6844-DZKRF,Month-to-month,DSL,Yes,Credit card (automatic),Yes,No
4695-WJZUE,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
7619-ODSGN,Month-to-month,DSL,No,Electronic check,No,Yes
5970-GHJAW,Two year,No,No internet service,Credit card (automatic),No,No
8879-XUAHX,Two year,Fiber optic,Yes,Electronic check,Yes,No
3689-MOZGR,Month-to-month,DSL,Yes,Electronic check,Yes,No
4195-PNGZS,Two year,No,No internet service,Bank transfer (automatic),No,No
5003-XZWWO,Two year,DSL,Yes,Credit card (automatic),No,No
3988-RQIXO,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
7622-FWGEW,Two year,DSL,Yes,Bank transfer (automatic),Yes,No
6922-NCEDI,One year,No,No internet service,Mailed check,Yes,No
2514-GINMM,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
9891-NQDBD,One year,No,No internet service,Mailed check,No,No
6131-IUNXN,Month-to-month,No,No internet service,Mailed check,No,No
8548-AWOFC,Month-to-month,DSL,Yes,Electronic check,No,No
9798-DRYDS,One year,DSL,Yes,Mailed check,Yes,No
8532-UEFWH,Two year,No,No internet service,Mailed check,No,No
6296-DDOOR,One year,DSL,No,Electronic check,No,No
7951-VRDVK,One year,DSL,Yes,Bank transfer (automatic),No,No
5931-FLJJF,Month-to-month,Fiber optic,No,Mailed check,Yes,Yes
4815-YOSUK,One year,Fiber optic,Yes,Credit card (automatic),Yes,No
2659-VXMWZ,One year,Fiber optic,No,Electronic check,Yes,Yes
0380-NEAVX,One year,Fiber optic,No,Electronic check,Yes,No
3207-OYBWH,Month-to-month,Fiber optic,No,Bank transfer (automatic),Yes,Yes
4285-GYRQC,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
7216-EWTRS,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
4365-MSDYN,Month-to-month,No,No internet service,Bank transfer (automatic),Yes,No
7036-TYDEC,Two year,Fiber optic,Yes,Electronic check,No,No
5802-ADBRC,One year,Fiber optic,No,Mailed check,Yes,No
8076-FEZKJ,One year,No,No internet service,Mailed check,No,No
5197-YPYBZ,Two year,No,No internet service,Credit card (automatic),No,No
8337-MSSXB,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
4312-GVYNH,Two year,DSL,Yes,Bank transfer (automatic),Yes,No
8495-LJDFO,Month-to-month,Fiber optic,Yes,Bank transfer (automatic),Yes,No
0839-JTCUD,Two year,DSL,Yes,Credit card (automatic),No,No
5494-WOZRZ,Two year,DSL,Yes,Credit card (automatic),Yes,No
1302-UHBDD,Month-to-month,Fiber optic,No,Electronic check,No,No
2234-EOFPT,Two year,DSL,Yes,Bank transfer (automatic),Yes,No
8619-IJNDK,Two year,DSL,Yes,Credit card (automatic),No,No
8378-LKJAF,Month-to-month,Fiber optic,No,Credit card (automatic),Yes,No
8182-BJDSI,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
2528-HFYZX,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
1153-GNOLC,One year,DSL,No,Electronic check,Yes,No
3298-QEICA,Two year,DSL,Yes,Mailed check,No,No
0788-DXBFY,One year,No,No internet service,Electronic check,Yes,No
3597-YASZG,Two year,Fiber optic,Yes,Bank transfer (automatic),Yes,No
3496-LFSZU,Month-to-month,Fiber optic,No,Electronic check,No,No
5242-UOWHD,Two year,No,No internet service,Mailed check,No,No
2482-CZGBB,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
6479-SZPLM,Two year,No,No internet service,Credit card (automatic),No,No
8097-VBQTZ,Month-to-month,DSL,Yes,Mailed check,Yes,No
4500-HKANN,Two year,DSL,Yes,Mailed check,No,No
9917-KWRBE,One year,DSL,No,Credit card (automatic),Yes,No
3420-ZDBMA,Month-to-month,Fiber optic,No,Mailed check,Yes,No
2212-LYASK,One year,DSL,No,Credit card (automatic),Yes,No
1393-IMKZG,Month-to-month,Fiber optic,Yes,Electronic check,Yes,No
8069-RHUXK,Two year,DSL,Yes,Credit card (automatic),No,No
3398-GCPMU,Two year,DSL,Yes,Credit card (automatic),Yes,No
2908-WGAXL,Two year,No,No internet service,Credit card (automatic),Yes,No
3378-AJRAO,One year,No,No internet service,Electronic check,No,No
1013-QCWAM,Month-to-month,Fiber optic,No,Electronic check,Yes,No
0866-QLSIR,One year,DSL,Yes,Mailed check,Yes,Yes
6050-FFXES,Two year,Fiber optic,Yes,Bank transfer (automatic),No,No
7181-BQYBV,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
0362-RAOQO,Two year,No,No internet service,Credit card (automatic),No,No
9554-DFKIC,Month-to-month,DSL,No,Bank transfer (automatic),Yes,No
5527-ACHSO,Month-to-month,DSL,Yes,Mailed check,No,No
0829-DDVLK,One year,No,No internet service,Credit card (automatic),No,No
1399-UBQIU,Month-to-month,DSL,No,Electronic check,Yes,No
1813-JLKWR,One year,No,No internet service,Bank transfer (automatic),No,No
0336-PIKEI,Two year,DSL,Yes,Bank transfer (automatic),No,No
7322-OCWHC,Two year,Fiber optic,Yes,Bank transfer (automatic),Yes,No
9537-VHDTA,Month-to-month,DSL,No,Mailed check,No,No
4957-TIALW,One year,DSL,Yes,Credit card (automatic),No,No
2054-PJOCK,One year,DSL,Yes,Credit card (automatic),No,No
9150-HEPMB,One year,DSL,No,Mailed check,No,No
9030-QGZNL,Two year,No,No internet service,Mailed check,No,No
6204-IEUXJ,Month-to-month,Fiber optic,Yes,Credit card (automatic),No,Yes
3126-WQMGH,Month-to-month,DSL,No,Credit card (automatic),Yes,No
4529-CKBCL,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
2506-CLAKW,Month-to-month,Fiber optic,Yes,Bank transfer (automatic),Yes,Yes
7176-WRTNX,Two year,Fiber optic,Yes,Bank transfer (automatic),Yes,No
1583-IHQZE,Month-to-month,Fiber optic,Yes,Mailed check,Yes,Yes
5732-IKGQH,One year,Fiber optic,Yes,Bank transfer (automatic),Yes,No
9239-GZHZE,Two year,Fiber optic,Yes,Credit card (automatic),Yes,No
7205-BAIAD,Two year,No,No internet service,Bank transfer (automatic),Yes,No
0151-ONTOV,Month-to-month,Fiber optic,No,Mailed check,No,Yes
4140-MUHUG,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
0093-EXYQL,Month-to-month,Fiber optic,No,Electronic check,Yes,No
8064-RAVOH,Month-to-month,DSL,No,Electronic check,Yes,No
0219-QAERP,One year,No,No internet service,Credit card (automatic),No,No
0320-JDNQG,Month-to-month,Fiber optic,Yes,Electronic check,Yes,Yes
7180-PISOG,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
9168-INPSZ,Month-to-month,Fiber optic,Yes,Electronic check,No,No
3571-RFHAR,Month-to-month,Fiber optic,Yes,Electronic check,Yes,Yes
0015-UOCOJ,Month-to-month,DSL,No,Electronic check,Yes,No
5334-AFQJB,Two year,No,No internet service,Credit card (automatic),Yes,No
2754-SDJRD,Month-to-month,Fiber optic,Yes,Credit card (automatic),Yes,No
9578-VRMNM,Month-to-month,DSL,No,Credit card (automatic),Yes,Yes
1587-FKLZB,Month-to-month,Fiber optic,No,Credit card (automatic),Yes,Yes
6140-QNRQQ,Month-to-month,Fiber optic,No,Mailed check,Yes,Yes
8963-JLGJT,Month-to-month,DSL,No,Mailed check,No,No
4307-KTUMW,Month-to-month,Fiber optic,No,Electronic check,No,Yes
1465-LNTLJ,Month-to-month,DSL,Yes,Credit card (automatic),Yes,No
5440-FLBQG,Two year,Fiber optic,Yes,Bank transfer (automatic),Yes,Yes
2135-DQWAQ,Month-to-month,Fiber optic,No,Mailed check,Yes,No
4056-QHXHZ,Two year,Fiber optic,Yes,Mailed check,No,No
7470-MCQTK,Month-to-month,DSL,No,Bank transfer (automatic),Yes,Yes
7488-MXJIV,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
7401-JIXNM,Two year,DSL,Yes,Credit card (automatic),No,No
9339-FIIJL,Two year,DSL,Yes,Bank transfer (automatic),No,No
